campaign,variant,repetition,class_index,prior,estimator
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,2,0.3499538004398346,-1.1831945180892944
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,4,0.3715018033981323,-1.3394187688827515
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,5,0.34038686752319336,-1.132717251777649
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,7,0.31155186891555786,-1.0148640871047974
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,9,0.0348702073097229,-0.010956492274999619
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,10,0.19397668540477753,-0.22697961330413818
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,11,0.19960957765579224,-0.24865001440048218
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,12,0.03527255356311798,-0.011774953454732895
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,14,0.00022352696396410465,9.882928861770779e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,15,0.019759783521294594,0.013349981978535652
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,17,0.19057908654212952,-0.1688847839832306
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,22,0.01198104489594698,0.0041523040272295475
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,24,0.013188090175390244,0.004692476242780685
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,29,0.0005364646785892546,8.768708357820287e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,32,0.2130211889743805,-0.09407156705856323
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,33,0.0368819460272789,-0.014012560248374939
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,34,0.0009388132020831108,0.00010760378063423559
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,36,0.05896640941500664,0.043632928282022476
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,43,0.00599052244797349,0.0013038452016189694
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,55,0.00022352696396410465,7.707064651185647e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,57,0.016540994867682457,0.004668536130338907
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,58,9.999999747378752e-05,6.433177622966468e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,62,0.0004917593323625624,0.00010679123806767166
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,64,0.000670580891892314,8.90856608748436e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,67,0.25187018513679504,-0.679290771484375
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,72,0.0004023485234938562,9.069700172403827e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,74,0.0003576431190595031,8.851455640979111e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,77,0.00022352696396410465,8.598734711995348e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,82,0.3668077290058136,-1.3199127912521362
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,87,9.999999747378752e-05,8.856746717356145e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,88,0.0004023485234938562,7.78692847234197e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,95,0.0004023485234938562,6.652929732808843e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,97,0.0368819460272789,-0.016092944890260696
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,98,0.00022352696396410465,6.107859371695668e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,105,0.03522785007953644,-0.0116482675075531
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,106,0.006079932674765587,0.00125727872364223
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,107,0.005677584558725357,-0.00023880344815552235
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,110,0.001341161783784628,0.00014629877114202827
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,113,0.34119153022766113,-1.08429753780365
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,119,0.0002682323392946273,8.43115194584243e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,121,0.00017882155952975154,0.00010051184654003009
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,122,0.0004470539279282093,6.880055298097432e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,124,0.38741692900657654,-1.0830210447311401
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,126,0.0008941078558564186,0.00012661055370699614
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,130,0.4158048629760742,-0.8034601211547852
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,135,0.4206777513027191,-1.1172946691513062
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,138,0.00017882155952975154,7.668983744224533e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,140,0.0004470539279282093,7.202586130006239e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,142,0.46860188245773315,-1.5538828372955322
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,143,9.999999747378752e-05,6.040461448719725e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,145,0.0025035019498318434,0.00033103718305937946
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,148,0.03683724254369736,0.016886698082089424
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,154,0.0004023485234938562,9.653348388383165e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,157,0.0002682323392946273,9.588782995706424e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,173,0.4016779065132141,-1.1669321060180664
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,175,0.30985307693481445,-1.0354121923446655
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,177,0.0035764314234256744,0.0005369735299609601
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,178,0.0004023485234938562,8.559580601286143e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,179,0.0007152862381190062,0.00011504679423524067
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,182,0.12817035615444183,0.004083797335624695
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,184,0.0004470539279282093,8.543862350052223e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,187,0.00013411616964731365,7.991707389010116e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,189,0.0004917593323625624,8.050866745179519e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,192,0.0002682323392946273,6.590474367840216e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,194,0.29711201786994934,-0.8975156545639038
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,197,0.3012249171733856,-0.7573009729385376
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,199,0.3719935417175293,-1.3254822492599487
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,200,0.000670580891892314,9.150523692369461e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,207,0.03625607490539551,-0.014403067529201508
