variant,repetition,class_index,quintile,average_precision
0000,0,24.0,1,0.33257930259010515
0000,0,36.0,2,0.32702451938251076
0000,0,57.0,1,0.11612592369374214
0000,0,82.0,4,0.6314573744027325
0000,0,105.0,1,0.6243371464871258
0000,0,106.0,1,0.1997449486477117
0000,0,124.0,4,0.9554390163977038
0000,0,126.0,0,0.5243837828839926
0000,0,130.0,4,0.9725789846812899
0000,0,135.0,4,0.9999118471849153
0000,0,142.0,4,0.9753576630030646
0000,0,173.0,4,0.969449582146808
0000,0,175.0,3,0.536386234941276
0000,0,177.0,0,0.3671614017549903
0000,0,179.0,0,0.00045243205990044377
0000,0,187.0,0,0.44809014010044934
0000,0,214.0,4,0.971266732986214
0000,0,218.0,3,0.5634174618025809
0000,0,219.0,3,0.5104762114392736
0000,0,263.0,2,0.10687491749260097
0000,0,326.0,4,0.34408036997442437
0000,0,335.0,3,0.7222911842787514
0000,0,340.0,4,0.5585165755250897
0000,0,357.0,1,0.38217591845181964
0000,0,372.0,4,0.9499428428879733
0000,0,387.0,2,0.3608891640703954
0000,0,394.0,4,0.9440131185156533
0000,0,447.0,4,0.9136559298762196
0000,0,461.0,2,0.667085771122244
0000,0,490.0,1,0.9237543273084653
0000,0,493.0,3,0.690078012905637
0000,1,24.0,1,0.2856105381705929
0000,1,36.0,2,0.2767569117165454
0000,1,57.0,1,0.19063060007304272
0000,1,82.0,4,0.4539928710136866
0000,1,105.0,1,0.25929413156880976
0000,1,106.0,1,0.4262961160952088
0000,1,124.0,4,0.979302428553331
0000,1,126.0,0,0.787513358096045
0000,1,130.0,4,0.9757624258995132
0000,1,135.0,4,0.9816454928414342
0000,1,142.0,4,0.8094548433820814
0000,1,173.0,4,0.9658329498393358
0000,1,175.0,3,0.2667424186050757
0000,1,177.0,0,0.6545669063035794
0000,1,179.0,0,0.0008514722945895107
0000,1,187.0,0,0.008262265435112994
0000,1,214.0,4,0.9764487205162649
0000,1,218.0,3,0.25354373416832937
0000,1,219.0,3,0.22239475070966985
0000,1,263.0,2,0.11052103846769094
0000,1,326.0,4,0.3672094973344444
0000,1,335.0,3,0.3406879153375655
0000,1,340.0,4,0.5936805416891725
0000,1,357.0,1,0.39312701207386824
0000,1,372.0,4,0.762701222693237
0000,1,387.0,2,0.42495127583572934
0000,1,394.0,4,0.526934297514801
0000,1,447.0,4,0.8000642477714183
0000,1,461.0,2,0.6367973509010038
0000,1,490.0,1,0.6455575112695848
0000,1,493.0,3,0.6803383660014863
0000,2,24.0,1,0.3571733868484027
