campaign,variant,repetition,scope,metryka,wartość
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,all classes (508),average_precision,0.3566980158902298
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,all classes (508),roc_auc,0.573112365898612
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,all classes (508),macro_f1,0.050527971237404726
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,all classes (508),macro_precision,0.03935534871203582
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,all classes (508),macro_recall,0.10414447024945662
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,all classes (508),micro_f1,0.14172683666397512
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,all classes (508),micro_precision,0.08361602204434952
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,all classes (508),micro_recall,0.46463587225263014
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,all classes (508),hamming_loss,0.3229819287130496
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,train-active ∩ test-active,average_precision,0.4737573253202021
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,train-active ∩ test-active,roc_auc,0.6954441950061936
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,train-active ∩ test-active,macro_f1,0.12302480669240158
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,train-active ∩ test-active,macro_precision,0.12867775211396412
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,train-active ∩ test-active,macro_recall,0.18170442653275948
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,train-active ∩ test-active,micro_f1,0.24881151964724524
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,train-active ∩ test-active,micro_precision,0.5436026091319619
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,train-active ∩ test-active,micro_recall,0.16132586812794092
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,train-active ∩ test-active,hamming_loss,0.2622741815207717
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,0,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,1,all classes (508),average_precision,0.36123199565415254
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,1,all classes (508),roc_auc,0.5699772264867335
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,1,all classes (508),macro_f1,0.04678173679444711
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,1,all classes (508),macro_precision,0.04451601724498185
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,1,all classes (508),macro_recall,0.08506222904805757
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,1,all classes (508),micro_f1,0.12034290592168422
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,1,all classes (508),micro_precision,0.07145632434040008
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,1,all classes (508),micro_recall,0.3810084062270875
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,1,all classes (508),hamming_loss,0.31968298425784025
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,1,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
