campaign,variant,repetition,metryka,wartość
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,average_precision,0.38585967783524744
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,average_precision,0.3771915375227714
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,average_precision,0.3454915634980757
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,average_precision,0.3570077582077729
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,average_precision,0.35574736486595004
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,sd_cos_theta,0.5092317994378122
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,effective_rank,2.4737091785243885
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,participation_ratio,1.7507446024284572
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,two_nn_intrinsic_dimension,5.689159744044596
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,rsa_spearman_r,0.7161055731397088
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,sd_cos_theta,0.47856217652847793
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,effective_rank,2.2423780149020436
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,participation_ratio,1.530813040528971
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,two_nn_intrinsic_dimension,5.695096360293003
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,rsa_spearman_r,0.6458250348905429
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,sd_cos_theta,0.4332092093311877
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,effective_rank,2.6704560661872443
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,participation_ratio,1.8323643507488465
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,two_nn_intrinsic_dimension,5.725372697376023
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,rsa_spearman_r,0.6758527936764147
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,sd_cos_theta,0.4373239878883873
