campaign,variant,split,repetition,metryka,wartość
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,0,fraction_negative_estimator,0.5490196078431373
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,0,mean_estimator,-0.4250360429286957
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,0,median_estimator,-0.015646565705537796
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,1,fraction_negative_estimator,0.5490196078431373
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,1,mean_estimator,-0.381971538066864
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,1,median_estimator,-0.020476341247558594
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,2,fraction_negative_estimator,0.553921568627451
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,2,mean_estimator,-0.438112735748291
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,2,median_estimator,-0.027182195335626602
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,3,fraction_negative_estimator,0.553921568627451
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,3,mean_estimator,-0.4203997850418091
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,3,median_estimator,-0.028330355882644653
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,4,fraction_negative_estimator,0.553921568627451
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,4,mean_estimator,-0.3825579285621643
kidney-architecture-predictive__cfg_529dc0e4494b,0006,train,4,median_estimator,-0.023611148819327354
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,0,fraction_negative_estimator,0.19607843137254902
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,0,mean_estimator,0.07005158066749573
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,0,median_estimator,0.0020449047442525625
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,1,fraction_negative_estimator,0.23039215686274508
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,1,mean_estimator,0.04478098079562187
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,1,median_estimator,0.0012267744168639183
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,2,fraction_negative_estimator,0.22058823529411764
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,2,mean_estimator,0.04862625524401665
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,2,median_estimator,0.0009272081078961492
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,3,fraction_negative_estimator,0.21568627450980393
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,3,mean_estimator,0.05359499901533127
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,3,median_estimator,0.0016603830736130476
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,4,fraction_negative_estimator,0.21568627450980393
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,4,mean_estimator,0.08346334099769592
kidney-architecture-predictive__cfg_529dc0e4494b,0006,validation,4,median_estimator,0.0014847501879557967
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,0,fraction_negative_estimator,0.03431372549019608
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,0,mean_estimator,0.09364494681358337
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,0,median_estimator,0.01493510976433754
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,1,fraction_negative_estimator,0.00980392156862745
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,1,mean_estimator,0.12682372331619263
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,1,median_estimator,0.010689436458051205
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,2,fraction_negative_estimator,0.04411764705882353
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,2,mean_estimator,0.10792481899261475
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,2,median_estimator,0.01351847779005766
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,3,fraction_negative_estimator,0.0392156862745098
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,3,mean_estimator,0.1198078989982605
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,3,median_estimator,0.010999936610460281
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,4,fraction_negative_estimator,0.014705882352941176
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,4,mean_estimator,0.1585198938846588
kidney-architecture-predictive__cfg_529dc0e4494b,0006,test,4,median_estimator,0.02171378955245018
