pair,class_index,delta_ap_mean,delta_ap_std,prior,n_repetitions
bare,3.0,-0.05356538625826283,0.33786875807571315,1e-04,5
bare,6.0,-0.1051979457493748,0.2619162307123211,1e-04,5
bare,20.0,-0.14471122314895501,0.1885090121279276,1e-04,5
bare,23.0,-0.4054070689078812,0.1609255664809931,1e-04,5
bare,24.0,0.03560045441892914,0.07193921995248118,0.01318809,5
bare,25.0,-0.008826839082115217,0.016630619941261745,1e-04,5
bare,26.0,-0.01676555499704377,0.022302490705002672,1e-04,5
bare,36.0,-0.12922775932194316,0.19796696141515474,0.05896641,5
bare,42.0,-0.018192777255127815,0.10728847084417074,1e-04,5
bare,47.0,0.15251552556520193,0.18354242470512702,1e-04,5
bare,48.0,-0.06318469636947614,0.2107011416452499,1e-04,5
bare,52.0,-0.21924553250704318,0.26512128303606436,1e-04,5
bare,57.0,0.005495124789545003,0.012568658712689812,0.016540995,5
bare,63.0,-0.34876480211944016,0.3682087433020062,1e-04,5
bare,76.0,-0.09419976121669882,0.17145176695279146,1e-04,5
bare,78.0,-0.13055691305570613,0.19331985410785474,1e-04,5
bare,80.0,-0.36627593686798154,0.2888185584533583,1e-04,5
bare,82.0,0.03456373956085592,0.14317476962910153,0.36680773,5
bare,89.0,-0.016544535396220906,0.02641923913425305,1e-04,5
bare,94.0,-0.16925145353679544,0.15096220953851242,1e-04,5
bare,100.0,-0.02082403896893866,0.20847563046159515,1e-04,5
bare,103.0,-0.3356536984467976,0.3299722872011692,1e-04,5
bare,105.0,-0.05518543188884743,0.22718127786134706,0.03522785,5
bare,106.0,0.007720524555598357,0.08524390011258852,0.0060799327,5
bare,108.0,0.005820303890634156,0.03246493115590544,1e-04,5
bare,116.0,0.021380015099135185,0.27868735148927826,1e-04,5
bare,117.0,-0.19883739318786625,0.1255389387909082,1e-04,5
bare,118.0,-0.2622566090760875,0.05902023902065185,1e-04,5
bare,120.0,-0.07698756671799296,0.17273808213149677,1e-04,5
bare,123.0,-0.118440762510413,0.32378416191564496,1e-04,5
bare,124.0,-0.02239362964621472,0.11195775081987212,0.38741693,5
bare,125.0,-0.199931594781484,0.22064231721820712,1e-04,5
bare,126.0,-0.038052687535333085,0.22011516664746986,0.00089410786,5
bare,129.0,-0.09219290416755033,0.13873166401125753,1e-04,5
bare,130.0,-0.0018023314201189855,0.05483771341078887,0.41580486,5
bare,132.0,-0.0739357826355977,0.17780703412855384,1e-04,5
bare,135.0,-0.060730117246843365,0.05294139636155173,0.42067775,5
bare,139.0,0.009029519895570525,0.05833361479791978,1e-04,5
bare,141.0,0.009446246394595254,0.03166631961566806,1e-04,5
bare,142.0,0.04014487486955733,0.02879182549696072,0.46860188,5
bare,149.0,-0.12652782370479207,0.2371885792444768,1e-04,5
bare,150.0,-0.1425281458492081,0.18971865795407455,1e-04,5
bare,152.0,-0.03941168349642231,0.2898665405916766,1e-04,5
bare,155.0,0.07683584937914571,0.10209890678378772,1e-04,5
bare,162.0,-0.12847107027344853,0.1720274660215146,1e-04,5
bare,169.0,0.00043695073747933126,0.002441718504635039,1e-04,5
bare,171.0,0.1453636541305599,0.21575952399375362,1e-04,5
bare,173.0,-0.012333381546475609,0.1477596563544725,0.4016779,5
bare,175.0,0.11420860154387472,0.21553153096952646,0.30985308,5
bare,176.0,0.02783594728254819,0.23062440249262667,1e-04,5
bare,177.0,0.09108001428576824,0.3359340546061475,0.0035764314,5
bare,179.0,0.000736442135366927,0.0022678149851089935,0.00071528624,5
bare,185.0,-0.16593613157667292,0.18039360367063356,1e-04,5
bare,187.0,-0.19819080241081527,0.24249118527802016,0.00013411617,5
bare,188.0,0.08928469079947435,0.22531662976087044,1e-04,5
bare,191.0,0.038049250994263685,0.15849701267811203,1e-04,5
bare,196.0,-0.05138241827634492,0.2298575039509287,1e-04,5
bare,206.0,-0.17098880631052107,0.07349058554953947,1e-04,5
bare,213.0,0.03742135737602666,0.2633728864010204,1e-04,5
bare,214.0,0.025152757193930064,0.12233888025133612,0.3816052,5
bare,215.0,0.09489504909979019,0.3753707414114605,1e-04,5
bare,216.0,-0.02498224907405508,0.23045396515069308,1e-04,5
bare,217.0,0.011199594196413786,0.26742940024051604,1e-04,5
bare,218.0,0.023925737889104282,0.2386998520108278,0.25249606,5
bare,219.0,0.06249463782932324,0.19410624065351403,0.27596638,5
bare,223.0,-0.032388964218438863,0.2404054619161923,1e-04,5
bare,225.0,0.08324686550055792,0.2818357191799515,1e-04,5
bare,227.0,-0.09372151453262811,0.12493990716396441,1e-04,5
bare,234.0,-0.11804521479709909,0.2839611745679047,1e-04,5
bare,241.0,0.05950122632313304,0.38233013154410056,1e-04,5
bare,246.0,0.014457872205823697,0.2727247879896593,1e-04,5
bare,247.0,-0.03272298373947518,0.20864905549981866,1e-04,5
bare,248.0,0.03700931558027408,0.2148433078264381,1e-04,5
bare,249.0,-0.07142416673423709,0.16305794053264736,1e-04,5
bare,263.0,-0.014993205824478722,0.035094599227345334,0.10277769,5
bare,264.0,0.005327123482956891,0.009640094375448527,1e-04,5
bare,268.0,-0.04863237959384405,0.2847228724219221,1e-04,5
bare,281.0,-0.01837316198000524,0.020509368199597422,1e-04,5
bare,283.0,0.019808175905803707,0.11528923067507785,1e-04,5
bare,288.0,-0.02186428321027579,0.13801746501660303,1e-04,5
bare,289.0,0.11565348842743142,0.2861968196611036,1e-04,5
bare,293.0,-0.06074160147131431,0.14610932907392765,1e-04,5
bare,294.0,-0.12091524714325544,0.1407269188472617,1e-04,5
bare,297.0,0.19022098059953657,0.34401587347401513,1e-04,5
bare,302.0,-0.0011564850864065556,0.14834041796959874,1e-04,5
bare,303.0,-0.0543391546084962,0.10560020272193689,1e-04,5
bare,304.0,-0.0329266635658433,0.06399402754645152,1e-04,5
bare,305.0,0.015119168291451213,0.037139581838005455,1e-04,5
bare,306.0,0.09870586959929266,0.40904616456729437,1e-04,5
bare,307.0,0.10448073617726472,0.3869198661740944,1e-04,5
bare,308.0,0.1290015987368612,0.28423926159249246,1e-04,5
bare,311.0,0.0024659556472308884,0.23987674452227925,1e-04,5
bare,312.0,0.07096812724872807,0.21158819853501742,1e-04,5
bare,321.0,-0.03995368014898885,0.05364997138457256,1e-04,5
bare,326.0,-0.1888345709568646,0.12489712883735848,0.37284297,5
bare,329.0,-0.01326544938054186,0.06327842846418036,1e-04,5
bare,335.0,-0.038328648466918004,0.25997899933072277,0.31097072,5
bare,340.0,-0.3526065607773198,0.12108346099888882,0.42170596,5
bare,357.0,-0.06481888454712073,0.08186748450857066,0.023067983,5
bare,372.0,0.21454010564397308,0.2477021231473361,0.4616279,5
bare,387.0,-0.050804809370468926,0.12447388828005491,0.20600244,5
bare,394.0,0.1865064674098453,0.23161974814412042,0.4501386,5
bare,447.0,0.20684634115254114,0.12563360236117463,0.4626114,5
bare,461.0,0.011860419746206996,0.023019619083481532,0.16701934,5
bare,485.0,0.00016797364392549298,0.000374317589973719,1e-04,5
bare,490.0,0.08449818155094276,0.20600063214034467,0.036121957,5
bare,492.0,-0.016295404208628093,0.03746057992715453,1e-04,5
bare,493.0,0.010755974424775517,0.00843529830462401,0.312446,5
bare,496.0,-0.05771978345263677,0.24570580037656034,1e-04,5
bare,497.0,-0.16341603183791645,0.21020629355289194,1e-04,5
bare,502.0,-0.06089468459962455,0.07207097123547601,1e-04,5
bare,506.0,-0.1628208425793151,0.11096840366298838,1e-04,5
bare,507.0,-0.13493811699445724,0.19953381001117754,1e-04,5
with regularizers,3.0,0.09311430422681644,0.1566012467423138,1e-04,5
with regularizers,6.0,0.21890312674788723,0.30563039734340347,1e-04,5
with regularizers,20.0,0.16359585677794514,0.18559561178208198,1e-04,5
with regularizers,23.0,0.23897375929028936,0.21778837869943762,1e-04,5
with regularizers,24.0,0.02188988830500993,0.021359623217463413,0.01318809,5
with regularizers,25.0,0.009057617857169114,0.02170442289951422,1e-04,5
with regularizers,26.0,0.00273944414798022,0.0039834891647834965,1e-04,5
with regularizers,36.0,0.06252926321428241,0.03372696179796077,0.05896641,5
with regularizers,42.0,0.03146907517225085,0.0842076832626558,1e-04,5
with regularizers,47.0,0.08699987656191631,0.03593936299271256,1e-04,5
