campaign,variant,repetition,metryka,wartość
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,average_precision,0.38585967783524744
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,roc_auc,0.5762760154117803
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,average_precision,0.3771915375227714
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,roc_auc,0.5829726246312769
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,average_precision,0.3454915634980757
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,roc_auc,0.5326369899283845
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,average_precision,0.3570077582077729
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,roc_auc,0.5790996206991033
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,average_precision,0.35574736486595004
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,roc_auc,0.5540290595386586
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,average_precision,0.36324271316444023
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,roc_auc,0.5664928755143827
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,average_precision,0.35422705562585577
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,roc_auc,0.572423130996316
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,average_precision,0.3626800423771973
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,roc_auc,0.5727471993323432
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,average_precision,0.3659460204371914
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,roc_auc,0.5633614302389557
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,average_precision,0.3407015395927709
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,roc_auc,0.541955027648734
kidney-architecture-predictive__cfg_529dc0e4494b,0005,0,average_precision,0.34769966948280784
kidney-architecture-predictive__cfg_529dc0e4494b,0005,0,roc_auc,0.5569520526482752
kidney-architecture-predictive__cfg_529dc0e4494b,0005,1,average_precision,0.3385723864862955
kidney-architecture-predictive__cfg_529dc0e4494b,0005,1,roc_auc,0.5600163411283454
kidney-architecture-predictive__cfg_529dc0e4494b,0005,2,average_precision,0.3716492385727699
kidney-architecture-predictive__cfg_529dc0e4494b,0005,2,roc_auc,0.5683128135396779
kidney-architecture-predictive__cfg_529dc0e4494b,0005,3,average_precision,0.36677015290867737
kidney-architecture-predictive__cfg_529dc0e4494b,0005,3,roc_auc,0.5606761492011512
kidney-architecture-predictive__cfg_529dc0e4494b,0005,4,average_precision,0.33559963629962586
kidney-architecture-predictive__cfg_529dc0e4494b,0005,4,roc_auc,0.5438294649566877
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,average_precision,0.35607234692851525
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,roc_auc,0.5687456227594614
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,average_precision,0.3260187726378997
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,roc_auc,0.5463146715157235
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,average_precision,0.35567641137565514
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,roc_auc,0.5897990621591654
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,average_precision,0.34309015668922277
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,roc_auc,0.5488558311931717
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,average_precision,0.35606090095899956
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,roc_auc,0.5583851219464016
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,0,average_precision,0.24054055552163564
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,0,roc_auc,0.4161932764791226
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,1,average_precision,0.23342641113971638
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,1,roc_auc,0.39729077390657946
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,2,average_precision,0.2636559720317689
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,2,roc_auc,0.47304255950730645
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,3,average_precision,0.2518128810370124
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,3,roc_auc,0.42070723201414273
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,4,average_precision,0.2424436127663298
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,4,roc_auc,0.4017309641295856
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,0,average_precision,0.34995495518657227
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,0,roc_auc,0.5680218626889406
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,1,average_precision,0.3254814063353412
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,1,roc_auc,0.5534839033597201
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,2,average_precision,0.3542489292324821
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,2,roc_auc,0.5786433398740674
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,3,average_precision,0.3419281405146185
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,3,roc_auc,0.5463639881880341
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,4,average_precision,0.3464782942614198
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,4,roc_auc,0.5459422439273184
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,average_precision,0.43434813650187093
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,roc_auc,0.7481058769769238
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,average_precision,0.3657679003700626
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,roc_auc,0.6220963238897822
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,average_precision,0.2980318759034935
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,roc_auc,0.483642312358741
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,average_precision,0.4253306780035051
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,roc_auc,0.7541031541186188
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,average_precision,0.46828769775673074
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,roc_auc,0.786076072902753
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,average_precision,0.3823586550892865
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,roc_auc,0.600485514250053
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,average_precision,0.3551129244014758
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,1,roc_auc,0.5759845759425329
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,average_precision,0.3432528154769018
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,2,roc_auc,0.5387330158366068
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,average_precision,0.38261808927653146
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,3,roc_auc,0.5949220195142642
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,average_precision,0.34466013574481885
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,4,roc_auc,0.5521305990635178
nnpu_followup,pos_weight alone,0007_vs_0004,diff_right_minus_left,0.11098358774019851
nnpu_followup,pos_weight alone,0007_vs_0004,larger_null,0.014346289459896388
nnpu_followup,pos_weight alone,0007_vs_0004,signal_over_null,7.736048268818358
nnpu_followup,"zero-interpretation, with regularizers",0007_vs_0006,diff_right_minus_left,0.10100783121876594
nnpu_followup,"zero-interpretation, with regularizers",0007_vs_0006,larger_null,0.01461557857020156
nnpu_followup,"zero-interpretation, with regularizers",0007_vs_0006,signal_over_null,6.910970423346913
nnpu_followup,"zero-interpretation, without regularizers",0011_vs_0012,diff_right_minus_left,-0.036752733709329743
nnpu_followup,"zero-interpretation, without regularizers",0011_vs_0012,larger_null,0.08181837596765651
nnpu_followup,"zero-interpretation, without regularizers",0011_vs_0012,signal_over_null,0.44919901274816804
nnpu_followup,"pos_weight alone, without regularizers",0000_vs_0011,diff_right_minus_left,0.03409367732116908
nnpu_followup,"pos_weight alone, without regularizers",0000_vs_0011,larger_null,0.08181837596765651
nnpu_followup,"pos_weight alone, without regularizers",0000_vs_0011,signal_over_null,0.4166995117899504
nnpu_followup,factorial_2x2,head_loss_main_effect (nnpu - bce),ap_effect,-0.009207814082690613
nnpu_followup,factorial_2x2,jaccard_main_effect (jaccard - no_jaccard),ap_effect,-0.004533315050713804
nnpu_followup,factorial_2x2,interaction,ap_effect,0.0015358848774839617
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,predicted_positive_fraction_at_0.5,0.314498718980038
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,predicted_positive_fraction_at_0.5,0.3076659600995066
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,predicted_positive_fraction_at_0.5,0.3042407730353616
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,predicted_positive_fraction_at_0.5,0.3158237770614244
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,predicted_positive_fraction_at_0.5,0.33290665288762844
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,predicted_positive_fraction_at_0.5,0.3007372959811791
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,predicted_positive_fraction_at_0.5,0.3090198876147193
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,predicted_positive_fraction_at_0.5,0.28545753648802846
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,predicted_positive_fraction_at_0.5,0.2917094815049685
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,predicted_positive_fraction_at_0.5,0.3189132957932831
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0005,0,predicted_positive_fraction_at_0.5,0.2978973265925652
kidney-architecture-predictive__cfg_529dc0e4494b,0005,0,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0005,1,predicted_positive_fraction_at_0.5,0.3079042552566835
kidney-architecture-predictive__cfg_529dc0e4494b,0005,1,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0005,2,predicted_positive_fraction_at_0.5,0.28390494812309536
kidney-architecture-predictive__cfg_529dc0e4494b,0005,2,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0005,3,predicted_positive_fraction_at_0.5,0.2933599323574486
kidney-architecture-predictive__cfg_529dc0e4494b,0005,3,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0005,4,predicted_positive_fraction_at_0.5,0.3190767261474866
kidney-architecture-predictive__cfg_529dc0e4494b,0005,4,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,predicted_positive_fraction_at_0.5,0.31035864644436223
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,predicted_positive_fraction_at_0.5,0.31997314653341713
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,predicted_positive_fraction_at_0.5,0.30362815386331743
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,predicted_positive_fraction_at_0.5,0.3141586468358122
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,true_positive_fraction,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,predicted_positive_fraction_at_0.5,0.3532028434924382
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,0,predicted_positive_fraction_at_0.5,0.001465980063454037
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,0,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,1,predicted_positive_fraction_at_0.5,0.0016020089211443648
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,1,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,2,predicted_positive_fraction_at_0.5,0.0019176154434834348
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,2,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,3,predicted_positive_fraction_at_0.5,0.0014850632485257015
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,3,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,4,predicted_positive_fraction_at_0.5,0.0019895443718304785
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0007,4,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,0,predicted_positive_fraction_at_0.5,0.32488780065802736
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,0,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,1,predicted_positive_fraction_at_0.5,0.30943629249923177
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,1,true_positive_fraction,0.05739341307168819
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,2,predicted_positive_fraction_at_0.5,0.3039173375140188
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0008,2,true_positive_fraction,0.05739341307168819
