campaign,variant,repetition,scope,metryka,wartość
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,all classes (508),average_precision,0.36324271316444023
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,all classes (508),roc_auc,0.5664928755143827
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,all classes (508),macro_f1,0.048052396294660585
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,all classes (508),macro_precision,0.04422999036353084
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,all classes (508),macro_recall,0.09962800031930916
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,all classes (508),micro_f1,0.13714056176612843
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,all classes (508),micro_precision,0.0816563946034246
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,all classes (508),micro_recall,0.42787354851910586
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,all classes (508),hamming_loss,0.3090164624276552
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,train-active ∩ test-active,average_precision,0.4679113662451951
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,train-active ∩ test-active,roc_auc,0.6740059282598708
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,train-active ∩ test-active,macro_f1,0.10410232473550361
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,train-active ∩ test-active,macro_precision,0.1753384186217764
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,train-active ∩ test-active,macro_recall,0.14673184109885862
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,train-active ∩ test-active,micro_f1,0.1888721950273833
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,train-active ∩ test-active,micro_precision,0.5068938605619147
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,train-active ∩ test-active,micro_recall,0.1160581333015665
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,train-active ∩ test-active,hamming_loss,0.2683922285567663
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,all classes (508),average_precision,0.35422705562585577
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,all classes (508),roc_auc,0.572423130996316
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,all classes (508),macro_f1,0.04046810790495858
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,all classes (508),macro_precision,0.03634276016521021
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,all classes (508),macro_recall,0.08078961144636734
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,all classes (508),micro_f1,0.11560655045918115
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,all classes (508),micro_precision,0.06853891841992339
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,all classes (508),micro_recall,0.36902995890667895
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,all classes (508),hamming_loss,0.3240535229516892
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,train-active ∩ test-active,average_precision,0.42321121280370394
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,train-active ∩ test-active,roc_auc,0.6393576131397422
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,train-active ∩ test-active,macro_f1,0.10498407749646378
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,train-active ∩ test-active,macro_precision,0.13925033571709938
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,train-active ∩ test-active,macro_recall,0.141313663055699
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,train-active ∩ test-active,micro_f1,0.20709111339565353
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,train-active ∩ test-active,micro_precision,0.5250333373742272
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,train-active ∩ test-active,micro_recall,0.12898326285067604
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,train-active ∩ test-active,hamming_loss,0.26593057660388253
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
