campaign,variant,repetition,metryka,wartość
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0009,0,average_precision,0.32156271542081005
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0009,1,average_precision,0.29923259061085195
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0009,2,average_precision,0.34087894985021605
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0009,3,average_precision,0.3208084757012487
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0009,4,average_precision,0.32378639611722904
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,average_precision,0.35607234692851525
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,average_precision,0.3260187726378997
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,average_precision,0.35567641137565514
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,average_precision,0.34309015668922277
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,average_precision,0.35606090095899956
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0010,0,average_precision,0.3542684225013736
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0010,1,average_precision,0.34031644118877485
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0010,2,average_precision,0.359788114844747
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0010,3,average_precision,0.35204350349936564
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0010,4,average_precision,0.3573858411624346
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0009,n/a_train_derived,mean_prior,0.043697260320186615
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0009,n/a_train_derived,median_prior,9.999999747378752e-05
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0009,n/a_train_derived,max_prior_value,0.31240126490592957
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0009,n/a_train_derived,classes_clamped_to_max,0.0
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0009,n/a_train_derived,classes_clamped_to_min,308.0
kidney-architecture-predictive__cfg_529dc0e4494b,0006,n/a_train_derived,mean_prior,0.06551563739776611
kidney-architecture-predictive__cfg_529dc0e4494b,0006,n/a_train_derived,median_prior,9.999999747378752e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,n/a_train_derived,max_prior_value,0.46860188245773315
kidney-architecture-predictive__cfg_529dc0e4494b,0006,n/a_train_derived,classes_clamped_to_max,0.0
kidney-architecture-predictive__cfg_529dc0e4494b,0006,n/a_train_derived,classes_clamped_to_min,307.0
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0010,n/a_train_derived,mean_prior,0.08733407407999039
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0010,n/a_train_derived,median_prior,9.999999747378752e-05
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0010,n/a_train_derived,max_prior_value,0.6248025298118591
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0010,n/a_train_derived,classes_clamped_to_max,0.0
kidney-nnpu-prior-sensitivity__cfg_b89b9dfd127d,0010,n/a_train_derived,classes_clamped_to_min,306.0
