campaign,variant,repetition,metryka,wartość
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,effective_rank_total,2.473709178524389
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,effective_rank_between,1.2081931663096188
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,effective_rank_within,3.6350346848197113
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,between_share,0.7012081835407076
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,trace_total,6.506681627516698
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,trace_between,4.562538404908678
kidney-architecture-predictive__cfg_529dc0e4494b,0000,0,trace_within,1.9441432226080204
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,effective_rank_total,2.242378014902044
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,effective_rank_between,1.1549426909446106
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,effective_rank_within,3.4972981558690086
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,between_share,0.6712625271293986
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,trace_total,5.357222045366625
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,trace_between,3.596102408566127
kidney-architecture-predictive__cfg_529dc0e4494b,0000,1,trace_within,1.7611196368005009
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,effective_rank_total,2.6704560661872434
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,effective_rank_between,1.1842403409279412
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,effective_rank_within,3.7423794658310663
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,between_share,0.665356204603313
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,trace_total,5.541488296677441
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,trace_between,3.68706362093098
kidney-architecture-predictive__cfg_529dc0e4494b,0000,2,trace_within,1.8544246757464644
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,effective_rank_total,2.631269697850135
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,effective_rank_between,1.1910332786198965
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,effective_rank_within,3.555594604967664
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,between_share,0.6374506044043166
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,trace_total,5.7361630186328565
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,trace_between,3.656520583189203
kidney-architecture-predictive__cfg_529dc0e4494b,0000,3,trace_within,2.0796424354436542
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,effective_rank_total,2.4051615797734804
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,effective_rank_between,1.208182668708322
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,effective_rank_within,3.298790013174976
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,between_share,0.697602609650028
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,trace_total,5.296463671006979
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,trace_between,3.6948268788110354
kidney-architecture-predictive__cfg_529dc0e4494b,0000,4,trace_within,1.6016367921959427
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,effective_rank_total,2.2250659064011917
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,effective_rank_between,1.2192035963005734
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,effective_rank_within,3.057177477776641
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,between_share,0.6910554885450405
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,trace_total,0.33928551910026955
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,trace_between,0.23446512015809445
kidney-architecture-predictive__cfg_529dc0e4494b,0004,0,trace_within,0.10482039894217507
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,effective_rank_total,2.4110311077226414
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,effective_rank_between,1.191462119977562
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,effective_rank_within,3.2324061648112403
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,between_share,0.6290313204245478
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,trace_total,0.29155094599916936
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,trace_between,0.18339467653288355
kidney-architecture-predictive__cfg_529dc0e4494b,0004,1,trace_within,0.1081562694662868
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,effective_rank_total,2.3239107339408718
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,effective_rank_between,1.174499352562352
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,effective_rank_within,3.0327233240432068
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,between_share,0.6747414028727142
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,trace_total,0.33604233597541006
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,trace_between,0.22674167720067215
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,trace_within,0.10930065877473766
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,effective_rank_total,2.633299624249406
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,effective_rank_between,1.2737764849674569
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,effective_rank_within,2.777356361033233
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,between_share,0.5821514205496492
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,trace_total,0.3721182918021463
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,trace_between,0.21662919218512833
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,trace_within,0.15548909961701768
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,effective_rank_total,2.573204017878208
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,effective_rank_between,1.1942126676993448
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,effective_rank_within,2.934192500526507
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,between_share,0.6070248081969799
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,trace_total,0.26362480677552214
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,trace_between,0.1600267977688772
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,trace_within,0.10359800900664548
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,effective_rank_total,2.2669116028436496
