model_alias,display_label,display_order,color,line_style,marker,tags_json
fischer-rao-spectral-hinge-experiment-20260906-01__task_000000,fisher_rao / spectral / w=1e-05,0,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000001,fisher_rao / spectral / w=1e-05,1,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000002,fisher_rao / spectral / w=1e-05,2,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000003,fisher_rao / spectral / w=1e-05,3,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000004,fisher_rao / spectral / w=1e-05,4,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000005,fisher_rao / spectral / w=1e-04,5,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000006,fisher_rao / spectral / w=1e-04,6,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000007,fisher_rao / spectral / w=1e-04,7,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000008,fisher_rao / spectral / w=1e-04,8,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000009,fisher_rao / spectral / w=1e-04,9,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000010,fisher_rao / spectral / w=1e-03,10,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000011,fisher_rao / spectral / w=1e-03,11,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000012,fisher_rao / spectral / w=1e-03,12,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000013,fisher_rao / spectral / w=1e-03,13,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000014,fisher_rao / spectral / w=1e-03,14,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01__task_000015,fisher_rao / spectral / w=1e-02,15,,solid,o,{}
