model_alias,display_label,display_order,color,line_style,marker,tags_json
predictive_initial/task_000000,bce_global_positive_penalty (PositiveWeightedMultiLabelBCELoss),0,,solid,o,{}
predictive_initial/task_000001,bce_global_positive_penalty (PositiveWeightedMultiLabelBCELoss),1,,solid,o,{}
predictive_initial/task_000002,bce_global_positive_penalty (PositiveWeightedMultiLabelBCELoss),2,,solid,o,{}
predictive_initial/task_000003,bce_global_positive_penalty (PositiveWeightedMultiLabelBCELoss),3,,solid,o,{}
predictive_initial/task_000004,bce_global_positive_penalty (PositiveWeightedMultiLabelBCELoss),4,,solid,o,{}
predictive_initial/task_000005,bce_per_class_positive_penalty (PositiveWeightedMultiLabelBCELoss),5,,solid,o,{}
predictive_initial/task_000006,bce_per_class_positive_penalty (PositiveWeightedMultiLabelBCELoss),6,,solid,o,{}
predictive_initial/task_000007,bce_per_class_positive_penalty (PositiveWeightedMultiLabelBCELoss),7,,solid,o,{}
predictive_initial/task_000008,bce_per_class_positive_penalty (PositiveWeightedMultiLabelBCELoss),8,,solid,o,{}
predictive_initial/task_000009,bce_per_class_positive_penalty (PositiveWeightedMultiLabelBCELoss),9,,solid,o,{}
predictive_initial/task_000010,pn_bce_unweighted (SignalMaskedBCELoss),10,,solid,o,{}
predictive_initial/task_000011,pn_bce_unweighted (SignalMaskedBCELoss),11,,solid,o,{}
predictive_initial/task_000012,pn_bce_unweighted (SignalMaskedBCELoss),12,,solid,o,{}
predictive_initial/task_000013,pn_bce_unweighted (SignalMaskedBCELoss),13,,solid,o,{}
predictive_initial/task_000014,pn_bce_unweighted (SignalMaskedBCELoss),14,,solid,o,{}
predictive_initial/task_000015,pn_bce_unweighted (SignalMaskedBCELoss),15,,solid,o,{}
predictive_initial/task_000016,pn_bce_unweighted (SignalMaskedBCELoss),16,,solid,o,{}
predictive_initial/task_000017,pn_bce_unweighted (SignalMaskedBCELoss),17,,solid,o,{}
predictive_initial/task_000018,pn_bce_unweighted (SignalMaskedBCELoss),18,,solid,o,{}
predictive_initial/task_000019,pn_bce_unweighted (SignalMaskedBCELoss),19,,solid,o,{}
predictive_initial/task_000020,pn_bce_global_positive_penalty (SignalMaskedBCELoss),20,,solid,o,{}
predictive_initial/task_000021,pn_bce_global_positive_penalty (SignalMaskedBCELoss),21,,solid,o,{}
predictive_initial/task_000022,pn_bce_global_positive_penalty (SignalMaskedBCELoss),22,,solid,o,{}
predictive_initial/task_000023,pn_bce_global_positive_penalty (SignalMaskedBCELoss),23,,solid,o,{}
predictive_initial/task_000024,pn_bce_global_positive_penalty (SignalMaskedBCELoss),24,,solid,o,{}
predictive_initial/task_000025,pn_bce_global_positive_penalty (SignalMaskedBCELoss),25,,solid,o,{}
predictive_initial/task_000026,pn_bce_global_positive_penalty (SignalMaskedBCELoss),26,,solid,o,{}
predictive_initial/task_000027,pn_bce_global_positive_penalty (SignalMaskedBCELoss),27,,solid,o,{}
predictive_initial/task_000028,pn_bce_global_positive_penalty (SignalMaskedBCELoss),28,,solid,o,{}
predictive_initial/task_000029,pn_bce_global_positive_penalty (SignalMaskedBCELoss),29,,solid,o,{}
predictive_initial/task_000030,pn_bce_per_class_positive_penalty (SignalMaskedBCELoss),30,,solid,o,{}
predictive_initial/task_000031,pn_bce_per_class_positive_penalty (SignalMaskedBCELoss),31,,solid,o,{}
predictive_initial/task_000032,pn_bce_per_class_positive_penalty (SignalMaskedBCELoss),32,,solid,o,{}
predictive_initial/task_000033,pn_bce_per_class_positive_penalty (SignalMaskedBCELoss),33,,solid,o,{}
predictive_initial/task_000034,pn_bce_per_class_positive_penalty (SignalMaskedBCELoss),34,,solid,o,{}
predictive_initial/task_000035,pn_bce_per_class_positive_penalty (SignalMaskedBCELoss),35,,solid,o,{}
predictive_initial/task_000036,pn_bce_per_class_positive_penalty (SignalMaskedBCELoss),36,,solid,o,{}
predictive_initial/task_000037,pn_bce_per_class_positive_penalty (SignalMaskedBCELoss),37,,solid,o,{}
predictive_initial/task_000038,pn_bce_per_class_positive_penalty (SignalMaskedBCELoss),38,,solid,o,{}
predictive_initial/task_000039,pn_bce_per_class_positive_penalty (SignalMaskedBCELoss),39,,solid,o,{}
predictive_initial/task_000040,pnu_ce (ThreeStateCrossEntropyLoss),40,,solid,o,{}
predictive_initial/task_000041,pnu_ce (ThreeStateCrossEntropyLoss),41,,solid,o,{}
predictive_initial/task_000042,pnu_ce (ThreeStateCrossEntropyLoss),42,,solid,o,{}
predictive_initial/task_000043,pnu_ce (ThreeStateCrossEntropyLoss),43,,solid,o,{}
predictive_initial/task_000044,pnu_ce (ThreeStateCrossEntropyLoss),44,,solid,o,{}
predictive_initial/task_000045,pnu_ce (ThreeStateCrossEntropyLoss),45,,solid,o,{}
predictive_initial/task_000046,pnu_ce (ThreeStateCrossEntropyLoss),46,,solid,o,{}
