model_alias,display_label,display_order,color,line_style,marker,tags_json
vpu,vpu,0,#0072B2,solid,o,"{""contractive"": false, ""contrastive"": false, ""family"": ""vpu""}"
vpu_contrastive,vpu + contrastive,1,#56B4E9,dashed,s,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu""}"
vpu_contractive,vpu + contractive,2,#D55E00,solid,^,"{""contractive"": true, ""contrastive"": false, ""family"": ""vpu""}"
vpu_contractive_contrastive,vpu + contractive + contrastive,3,#E69F00,dashed,D,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu""}"
vpu_contrastive_t001_w100m,"VPU + contrastive (T=0.01, w=0.1)",4,#009E73,solid,o,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.01, ""weight"": 0.1}"
vpu_contractive_contrastive_t001_w100m,"VPU + contractive + contrastive (T=0.01, w=0.1)",5,#009E73,dashed,o,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.01, ""weight"": 0.1}"
vpu_contrastive_t001_w10m,"VPU + contrastive (T=0.01, w=0.01)",6,#009E73,solid,s,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.01, ""weight"": 0.01}"
vpu_contractive_contrastive_t001_w10m,"VPU + contractive + contrastive (T=0.01, w=0.01)",7,#009E73,dashed,s,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.01, ""weight"": 0.01}"
vpu_contrastive_t001_w1m,"VPU + contrastive (T=0.01, w=0.001)",8,#009E73,solid,^,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.01, ""weight"": 0.001}"
vpu_contractive_contrastive_t001_w1m,"VPU + contractive + contrastive (T=0.01, w=0.001)",9,#009E73,dashed,^,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.01, ""weight"": 0.001}"
vpu_contrastive_t007_w10m,"VPU + contrastive (T=0.07, w=0.01)",10,#0072B2,solid,s,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.07, ""weight"": 0.01}"
vpu_contractive_contrastive_t007_w10m,"VPU + contractive + contrastive (T=0.07, w=0.01)",11,#0072B2,dashed,s,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.07, ""weight"": 0.01}"
vpu_contrastive_t007_w1m,"VPU + contrastive (T=0.07, w=0.001)",12,#0072B2,solid,^,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.07, ""weight"": 0.001}"
vpu_contractive_contrastive_t007_w1m,"VPU + contractive + contrastive (T=0.07, w=0.001)",13,#0072B2,dashed,^,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.07, ""weight"": 0.001}"
vpu_contrastive_t015_w100m,"VPU + contrastive (T=0.15, w=0.1)",14,#CC79A7,solid,o,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.15, ""weight"": 0.1}"
vpu_contractive_contrastive_t015_w100m,"VPU + contractive + contrastive (T=0.15, w=0.1)",15,#CC79A7,dashed,o,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.15, ""weight"": 0.1}"
vpu_contrastive_t015_w10m,"VPU + contrastive (T=0.15, w=0.01)",16,#CC79A7,solid,s,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.15, ""weight"": 0.01}"
vpu_contractive_contrastive_t015_w10m,"VPU + contractive + contrastive (T=0.15, w=0.01)",17,#CC79A7,dashed,s,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.15, ""weight"": 0.01}"
vpu_contrastive_t015_w1m,"VPU + contrastive (T=0.15, w=0.001)",18,#CC79A7,solid,^,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.15, ""weight"": 0.001}"
vpu_contractive_contrastive_t015_w1m,"VPU + contractive + contrastive (T=0.15, w=0.001)",19,#CC79A7,dashed,^,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.15, ""weight"": 0.001}"
vpu_contrastive_t030_w100m,"VPU + contrastive (T=0.30, w=0.1)",20,#D55E00,solid,o,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.3, ""weight"": 0.1}"
vpu_contractive_contrastive_t030_w100m,"VPU + contractive + contrastive (T=0.30, w=0.1)",21,#D55E00,dashed,o,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.3, ""weight"": 0.1}"
vpu_contrastive_t030_w10m,"VPU + contrastive (T=0.30, w=0.01)",22,#D55E00,solid,s,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.3, ""weight"": 0.01}"
vpu_contractive_contrastive_t030_w10m,"VPU + contractive + contrastive (T=0.30, w=0.01)",23,#D55E00,dashed,s,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.3, ""weight"": 0.01}"
vpu_contrastive_t030_w1m,"VPU + contrastive (T=0.30, w=0.001)",24,#D55E00,solid,^,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.3, ""weight"": 0.001}"
vpu_contractive_contrastive_t030_w1m,"VPU + contractive + contrastive (T=0.30, w=0.001)",25,#D55E00,dashed,^,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.3, ""weight"": 0.001}"
