model_alias,display_label,display_order,color,line_style,marker,tags_json
vpu_contrastive_t030_w10m,"VPU + contrastive (T=0.30, w=0.01)",0,#D55E00,solid,s,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.3, ""weight"": 0.01}"
vpu_contrastive_t030_w10m_j10,"VPU + contrastive (T=0.30, w=0.01, j=0.1)",1,#D55E00,solid,o,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.1, ""temperature"": 0.3, ""weight"": 0.01}"
vpu_contrastive_t030_w10m_j25,"VPU + contrastive (T=0.30, w=0.01, j=0.25)",2,#D55E00,solid,s,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.25, ""temperature"": 0.3, ""weight"": 0.01}"
vpu_contrastive_t030_w10m_j50,"VPU + contrastive (T=0.30, w=0.01, j=0.5)",3,#D55E00,solid,^,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.5, ""temperature"": 0.3, ""weight"": 0.01}"
vpu_contrastive_t007_w10m,"VPU + contrastive (T=0.07, w=0.01)",4,#0072B2,solid,s,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.07, ""weight"": 0.01}"
vpu_contrastive_t007_w10m_j10,"VPU + contrastive (T=0.07, w=0.01, j=0.1)",5,#0072B2,solid,o,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.1, ""temperature"": 0.07, ""weight"": 0.01}"
vpu_contrastive_t007_w10m_j25,"VPU + contrastive (T=0.07, w=0.01, j=0.25)",6,#0072B2,solid,s,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.25, ""temperature"": 0.07, ""weight"": 0.01}"
vpu_contrastive_t007_w10m_j50,"VPU + contrastive (T=0.07, w=0.01, j=0.5)",7,#0072B2,solid,^,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.5, ""temperature"": 0.07, ""weight"": 0.01}"
vpu_contrastive_t001_w1m,"VPU + contrastive (T=0.01, w=0.001)",8,#009E73,solid,^,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.01, ""weight"": 0.001}"
vpu_contrastive_t001_w1m_j10,"VPU + contrastive (T=0.01, w=0.001, j=0.1)",9,#009E73,solid,o,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.1, ""temperature"": 0.01, ""weight"": 0.001}"
vpu_contrastive_t001_w1m_j25,"VPU + contrastive (T=0.01, w=0.001, j=0.25)",10,#009E73,solid,s,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.25, ""temperature"": 0.01, ""weight"": 0.001}"
vpu_contrastive_t001_w1m_j50,"VPU + contrastive (T=0.01, w=0.001, j=0.5)",11,#009E73,solid,^,"{""contractive"": false, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.5, ""temperature"": 0.01, ""weight"": 0.001}"
vpu_contractive_contrastive_t007_w1m,"VPU + contractive + contrastive (T=0.07, w=0.001)",12,#0072B2,dashed,^,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""temperature"": 0.07, ""weight"": 0.001}"
vpu_contractive_contrastive_t007_w1m_j10,"VPU + contractive + contrastive (T=0.07, w=0.001, j=0.1)",13,#0072B2,dashed,o,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.1, ""temperature"": 0.07, ""weight"": 0.001}"
vpu_contractive_contrastive_t007_w1m_j25,"VPU + contractive + contrastive (T=0.07, w=0.001, j=0.25)",14,#0072B2,dashed,s,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.25, ""temperature"": 0.07, ""weight"": 0.001}"
vpu_contractive_contrastive_t007_w1m_j50,"VPU + contractive + contrastive (T=0.07, w=0.001, j=0.5)",15,#0072B2,dashed,^,"{""contractive"": true, ""contrastive"": true, ""family"": ""vpu"", ""jaccard_weight"": 0.5, ""temperature"": 0.07, ""weight"": 0.001}"
