image_key,dataset_name,pixel_count,annotation_records,unique_label_count,is_middle_candidate,is_heldout,pixel_count_percentile,annotation_records_percentile,unique_label_count_percentile
2017-04-20_09h06m22s,May4_kidney_serial_S25,10626,70,51,False,False,0.42,0.88,0.86
2018-07-11_00h39m52s,Mouse Kidney_M24_11,18792,6,3,False,False,0.54,0.06,0.02
2019-03-19_17h21m15s,kidney_test_metabolites,8429,14,14,True,False,0.27,0.49,0.64
2024-02-19_04h23m32s,control_c1,7523,15,11,False,False,0.12,0.53,0.54
2024-02-19_05h02m33s,c2_mus_kidney,8097,6,5,False,False,0.2,0.06,0.08
2024-02-19_05h12m47s,con2060-2,6497,11,7,False,False,0.04,0.33,0.24
2024-02-19_05h21m14s,d1-1817,8401,13,10,True,False,0.24,0.44,0.5
2024-02-19_05h36m42s,d1-1829,7785,16,12,False,False,0.16,0.58,0.56
2024-02-19_05h42m55s,d1-2005-2,10975,8,6,False,False,0.46,0.17,0.14
2024-02-19_05h43m55s,d1-2016-2,9183,12,10,True,False,0.34,0.39,0.5
2024-02-20_01h38m59s,d2-2018-2,11459,8,7,False,False,0.5,0.17,0.24
2024-02-20_01h40m11s,d2-2042-2,10435,8,7,False,False,0.38,0.17,0.24
2024-02-20_01h41m56s,d2-2053-2,12114,7,6,False,False,0.52,0.11,0.14
2024-02-20_01h42m42s,d3-1807,6849,12,9,False,False,0.08,0.39,0.41
2024-02-20_01h43m24s,d3-2010-2,10601,14,8,True,False,0.4,0.49,0.33
2024-02-20_01h44m07s,d3-2012-2,10933,11,7,True,False,0.44,0.33,0.24
2024-02-20_01h45m20s,d3-2023-2,10994,11,7,True,True,0.48,0.33,0.24
2024-02-20_01h46m10s,d7-2004-2,8859,9,6,False,False,0.32,0.23,0.14
2024-02-20_01h46m58s,d7-2020-2,9888,13,9,True,True,0.36,0.44,0.41
2024-02-20_01h48m46s,d7-2024-2,7798,9,5,False,False,0.18,0.23,0.08
2024-02-20_01h49m35s,d14-2001-2,8278,15,10,True,False,0.22,0.53,0.5
2024-02-20_01h53m31s,d14-2015,6697,16,9,False,False,0.06,0.58,0.41
2024-02-20_01h54m01s,d14-2295,5025,13,9,False,False,0.02,0.44,0.41
2024-02-20_01h54m41s,d28-2006-2,8566,16,13,True,True,0.3,0.58,0.6
2024-02-20_01h55m56s,d28-2014-2,7198,10,7,False,False,0.1,0.27,0.24
2024-02-20_01h57m32s,d28-2017-2,7664,17,13,False,False,0.14,0.62,0.6
2024-04-10_17h06m19s,8223301,20992,169,100,False,False,0.58,0.94,0.94
2024-05-23_14h25m01s,K3 vs K6 neg -Jano ,20096,467,298,False,False,0.56,1.0,1.0
2025-07-06_16h31m32s,msi2024013_20240909_multiomicsii_nedc 50-1350,70784,28,20,False,False,0.9,0.7,0.68
2025-07-06_22h07m04s,msi2024013_20240909_multiomicsii_nor 50-1350,83704,110,97,False,False,1.0,0.9,0.92
2025-10-24_17h02m31s,C166_1_S2_SM_Neg_20251023_SZ,44602,39,35,False,False,0.68,0.78,0.84
2025-10-24_17h04m26s,C179_1_S2_SM_Neg_20251023_SZ,32285,6,5,False,False,0.6,0.06,0.08
2025-10-24_17h07m48s,C198_1_S2_SM_Neg_20251023_SZ,55793,10,9,False,False,0.82,0.27,0.41
2025-10-30_19h46m05s,C106_1_S2_SM_Neg_20251024_SZ,47710,65,52,False,False,0.7,0.86,0.88
2025-10-30_19h46m51s,C122_1_S2_SM_Neg_20251024_SZ,41023,25,21,True,False,0.64,0.67,0.7
2025-10-30_20h03m38s,C163_1_S2_SM_Neg_20251024_SZ,39908,34,25,True,False,0.62,0.74,0.73
2026-04-21_18h07m29s,Kidney_1_2_S1_SM_Neg_20260421_AQ,81071,209,138,False,False,0.97,0.97,0.97
2026-04-21_18h16m54s,Kidney_2_S1_SM_Neg_20260421_AQ_1.95A,81071,209,138,False,False,0.97,0.97,0.97
2026-04-22_21h03m00s,kidney_test_metabolites_null_mz_shift_10_til_550,8429,7,7,False,False,0.27,0.11,0.24
2026-05-06_16h57m47s,B6WT8_2_S2_SM_Neg_20260203_AQ,63195,8,8,False,False,0.86,0.17,0.33
2026-05-06_17h02m09s,B6WT7_2_S2_SM_Neg_20260203_AQ,69127,11,9,False,False,0.88,0.33,0.41
2026-05-06_17h43m40s,B6TG2_2_S2_SM_Neg_20260203_AQ,71446,33,25,False,False,0.92,0.72,0.73
2026-06-29_19h22m27s,WT98_1_S2_SM_Neg_20260605_AQ,74880,142,92,False,False,0.94,0.92,0.9
2026-06-29_19h43m24s,CL141_1_S2_SM_Neg_20260605_AQ,51185,37,27,True,False,0.74,0.76,0.76
2026-06-29_22h13m37s,CL220_1_S2_SM_Neg_20260610_AQ,49708,40,32,True,False,0.72,0.8,0.8
2026-06-29_22h16m32s,CT178_1_S2_SM_Neg_20260610_AQ,53663,43,33,False,False,0.78,0.83,0.82
2026-07-09_19h39m23s,CL189_1_S2_SM_Neg_20260601_AQ_ML,42005,4,4,False,False,0.66,0.02,0.04
2026-07-09_19h56m03s,CT177_1_S2_SM_Neg_20260601_AQ,54985,23,13,True,False,0.8,0.64,0.6
2026-08-03_04h13m27s,dbm-1758_4_S2_SM_Neg_20260731_AQ,56701,43,28,False,False,0.84,0.83,0.78
2026-08-03_04h15m34s,dbdb-1770_2_S2_SM_Neg_20260731_AQ,52679,25,19,True,False,0.76,0.67,0.66
