label,all_image_count,training_image_count
C10H10N2O3S|-H,2,2
C10H10O5|-H,1,1
C10H12N2O5|-H,1,1
C10H12N4O5|+Cl,2,2
C10H12N4O5|-H,1,1
C10H13N4O8P|-H,1,1
C10H13N5O4|+Cl,2,2
C10H13N5O5|+Cl,1,1
C10H14N4O5|-H,1,1
C10H14N5O7P|+Cl,4,4
C10H14N5O7P|-H,4,4
C10H14N5O8P|-H,1,1
C10H15N3O5|+Cl,1,1
C10H15N5O10P2|-H,1,1
C10H15N5O9P2|+Cl,1,1
C10H15NO2S|-H,1,1
C10H16N2O11P2|+Cl,1,1
C10H16N2O7|-H,3,3
C10H16N2O8|-H,2,2
C10H16N4O7S|-H,1,1
C10H16N5O13P3|-H,1,1
C10H17N3O6S|+Cl,3,3
C10H17N3O6S|-H,7,7
C10H17N3O6|-H,2,2
C10H17NO5|+Cl,1,1
C10H18O4|-H,1,1
C10H19O6P|-H,1,1
C10H20NO9P|-H,1,1
C10H20O7P2|[M]-,1,1
C10H7N3S|[M]-,1,1
C10H7NO2|+Cl,3,3
C10H7NO4|-H,2,2
C10H8N2O2|+Cl,10,10
C10H8N2O|+Cl,5,5
C10H8O3S|-H,3,3
C10H9Cl3O2|-H,1,1
C10H9NO2|+Cl,5,5
C10H9NO3|+Cl,1,1
C10H9NO4|-H,2,2
C11H12O5|-H,1,1
C11H16ClN5|+Cl,1,1
C11H17NO6S|-H,1,1
C11H18N2O3|-H,1,1
C11H18O2|+Cl,1,1
C11H19NO10|-H,2,2
C11H19NO8|+Cl,1,1
C11H20N2O6|+Cl,1,1
C11H20N4O11P2|-H,1,1
C11H20O4|-H,1,1
C11H20O7|-H,1,1
C11H21N3O5|+Cl,2,2
C11H21O12P|-H,1,1
C11H8O4|-H,1,1
C11H9F2NO3|-H,1,1
C12H10O4|-H,2,2
C12H10S2|-H,1,1
C12H14O4|-H,1,1
C12H16N6O4S|-H,5,5
C12H16O7|+Cl,2,2
C12H19N3O|-H,2,2
C12H21N7O3|[M]-,12,10
C12H22N3O7P|-H,1,1
C12H22O11|+Cl,8,8
C12H22O11|-H,1,1
C12H22O4|-H,1,1
C12H22O6|-H,1,1
C12H22O8|-H,1,1
C12H22O|+Cl,2,2
C12H24O3|-H,1,1
C12H26O4S|-H,1,1
C12H27O4P|+Cl,1,1
C12H8O4|-H,8,7
C12H9ClO|+Cl,1,1
C13H10N2|+Cl,3,3
C13H14O3S|-H,1,1
C13H18N2O|-H,2,2
C13H18N4O6|-H,1,1
C13H18O2|-H,1,1
C13H20N3O8S|-H,7,6
C13H21N2O4PS|-H,9,9
C13H21N3O3|-H,1,1
C13H25NO3|-H,1,1
C13H26O2|-H,1,1
C13H26O3|+Cl,1,1
C13H26|+Cl,2,2
C13H8F2O2|-H,1,1
C14H12O2|-H,1,1
C14H14N2O4|-H,1,1
C14H16O6|-H,1,1
C14H18O9S|+Cl,1,1
C14H19NO6|-H,2,2
C14H20N2O3S|+Cl,16,16
C14H20N2O3S|-H,11,11
C14H20N2O4S|+Cl,1,1
C14H20N2O4S|-H,3,3
C14H20O2|[M]-,1,1
C14H20O3|-H,1,1
C14H21ClN2O3S|-H,12,12
C14H21N3O3S|+Cl,1,1
C14H21N3O3S|-H,5,5
C14H22O2|-H,1,1
C14H24O2|-H,1,1
C14H26O2|-H,2,2
C14H26O3|-H,1,1
C14H26O4|-H,1,1
C14H27N3O2|[M]-,1,1
C14H27NO3|+Cl,3,3
C14H27NO3|-H,1,1
C14H27O8P|-H,2,2
C14H28O2|+Cl,1,1
C14H28O2|-H,2,2
C14H28O3|-H,1,1
C14H28O5S|-H,1,1
C14H29NaO4S|+Cl,13,13
C14H30N2O4|+Cl,1,1
C14H30O4S|-H,1,1
C14H30O8|-H,12,9
C15H14N4O|-H,1,1
C15H16O2|-H,1,1
C15H19ClN4O3|+Cl,1,1
C15H19N5O|[M]-,1,1
C15H19NO9|[M]-,1,1
C15H20O7|-H,1,1
C15H22O2|-H,2,2
C15H22O4|-H,1,1
C15H23N3O3|[M]-,1,1
C15H23N3O4|[M]-,1,1
C15H24N2O17P2|-H,1,1
C15H26O6|-H,1,1
C15H28O2|-H,1,1
C15H28O3|-H,1,1
C15H30O2|+Cl,1,1
C15H30O2|-H,1,1
C15H31O7P|-H,1,1
C16H11ClN2O3|-H,1,1
C16H11NO2|-H,1,1
