model_id,source,task_id,grid_id,repetition,axis,role,stage,variant,lineage,label,condition,artifact,initialization_seed,training_seed,head,family,objective_json,masserstein_params_json,ready,history_available,raw_label,model_alias,display_label,display_order,color,line_style,marker,tags_json
metaspace-pretrain-repaired-20260923-01__grid_0000__rep_00__real_only,metaspace-pretrain-repaired-20260923-01,task_000000,grid_0000,0,axis-200-900,real_only,real_only,baseline,grid_0000__rep_00,"Real-only baseline, 200-900 m/z",axis-200-900/real_only,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/metaspace-pretrain-repaired-20260923-01__grid_0000__rep_00__real_only,91154199,32238397,molecule_vpu,VariationalPULoss,"{""contrastive"": {""peak_permutation"": {""params"": {""annotation_bin_radius"": 0, ""negative_weighting_method"": ""multilabel_jaccard"", ""overlapping_label_negative_weight"": 0.1, ""peak_catalog_limit"": 4096, ""peak_sample_size"": 10000, ""peak_selection_method"": ""permutation_label_invariant"", ""permutation_bank_size"": 7000, ""permutation_selection_attempts"": 64, ""permuted_peaks_per_view"": 3, ""preserve_input_normalization"": true, ""temperature"": 0.07}, ""target"": ""InfoNCELoss"", ""weight"": 0.001}}, ""heads"": {""molecule_vpu"": {""vpu"": {""params"": {""alpha"": 1.0, ""beta"": 1.0, ""consistency_weight"": 0.0, ""negative_weight"": 0.0, ""simulated_negative_weight"": 0.0}, ""target"": ""VariationalPULoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}, ""regularization"": {""contractive"": {""params"": {""calculation_method"": ""exact_autograd_jacobian"", ""hinge_alpha"": 2.0, ""hinge_threshold"": 7.0, ""input_geometry"": ""fisher_rao"", ""latent_source"": ""auto"", ""penalized_space"": ""u"", ""penalty_metric"": ""spectral_plus_hinged""}, ""target"": ""ContractiveLoss"", ""weight"": 0.002}}}",{},True,True,real_only (axis-200-900),baseline_200_900,"Real-only baseline, 200-900 m/z",0,#0072B2,solid,o,"{""axis"": ""axis-200-900"", ""role"": ""real_only""}"
metaspace-pretrain-repaired-20260923-01__grid_0000__rep_01__real_only,metaspace-pretrain-repaired-20260923-01,task_000001,grid_0000,1,axis-200-900,real_only,real_only,baseline,grid_0000__rep_01,"Real-only baseline, 200-900 m/z",axis-200-900/real_only,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/metaspace-pretrain-repaired-20260923-01__grid_0000__rep_01__real_only,919377028,892754137,molecule_vpu,VariationalPULoss,"{""contrastive"": {""peak_permutation"": {""params"": {""annotation_bin_radius"": 0, ""negative_weighting_method"": ""multilabel_jaccard"", ""overlapping_label_negative_weight"": 0.1, ""peak_catalog_limit"": 4096, ""peak_sample_size"": 10000, ""peak_selection_method"": ""permutation_label_invariant"", ""permutation_bank_size"": 7000, ""permutation_selection_attempts"": 64, ""permuted_peaks_per_view"": 3, ""preserve_input_normalization"": true, ""temperature"": 0.07}, ""target"": ""InfoNCELoss"", ""weight"": 0.001}}, ""heads"": {""molecule_vpu"": {""vpu"": {""params"": {""alpha"": 1.0, ""beta"": 1.0, ""consistency_weight"": 0.0, ""negative_weight"": 0.0, ""simulated_negative_weight"": 0.0}, ""target"": ""VariationalPULoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}, ""regularization"": {""contractive"": {""params"": {""calculation_method"": ""exact_autograd_jacobian"", ""hinge_alpha"": 2.0, ""hinge_threshold"": 7.0, ""input_geometry"": ""fisher_rao"", ""latent_source"": ""auto"", ""penalized_space"": ""u"", ""penalty_metric"": ""spectral_plus_hinged""}, ""target"": ""ContractiveLoss"", ""weight"": 0.002}}}",{},True,True,real_only (axis-200-900),baseline_200_900,"Real-only baseline, 200-900 m/z",0,#0072B2,solid,o,"{""axis"": ""axis-200-900"", ""role"": ""real_only""}"
metaspace-pretrain-repaired-20260923-01__grid_0000__rep_02__real_only,metaspace-pretrain-repaired-20260923-01,task_000002,grid_0000,2,axis-200-900,real_only,real_only,baseline,grid_0000__rep_02,"Real-only baseline, 200-900 m/z",axis-200-900/real_only,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/metaspace-pretrain-repaired-20260923-01__grid_0000__rep_02__real_only,2136253289,442265914,molecule_vpu,VariationalPULoss,"{""contrastive"": {""peak_permutation"": {""params"": {""annotation_bin_radius"": 0, ""negative_weighting_method"": ""multilabel_jaccard"", ""overlapping_label_negative_weight"": 0.1, ""peak_catalog_limit"": 4096, ""peak_sample_size"": 10000, ""peak_selection_method"": ""permutation_label_invariant"", ""permutation_bank_size"": 7000, ""permutation_selection_attempts"": 64, ""permuted_peaks_per_view"": 3, ""preserve_input_normalization"": true, ""temperature"": 0.07}, ""target"": ""InfoNCELoss"", ""weight"": 0.001}}, ""heads"": {""molecule_vpu"": {""vpu"": {""params"": {""alpha"": 1.0, ""beta"": 1.0, ""consistency_weight"": 0.0, ""negative_weight"": 0.0, ""simulated_negative_weight"": 0.0}, ""target"": ""VariationalPULoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}, ""regularization"": {""contractive"": {""params"": {""calculation_method"": ""exact_autograd_jacobian"", ""hinge_alpha"": 2.0, ""hinge_threshold"": 7.0, ""input_geometry"": ""fisher_rao"", ""latent_source"": ""auto"", ""penalized_space"": ""u"", ""penalty_metric"": ""spectral_plus_hinged""}, ""target"": ""ContractiveLoss"", ""weight"": 0.002}}}",{},True,True,real_only (axis-200-900),baseline_200_900,"Real-only baseline, 200-900 m/z",0,#0072B2,solid,o,"{""axis"": ""axis-200-900"", ""role"": ""real_only""}"
metaspace-pretrain-repaired-20260923-01__grid_0000__rep_03__real_only,metaspace-pretrain-repaired-20260923-01,task_000003,grid_0000,3,axis-200-900,real_only,real_only,baseline,grid_0000__rep_03,"Real-only baseline, 200-900 m/z",axis-200-900/real_only,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/metaspace-pretrain-repaired-20260923-01__grid_0000__rep_03__real_only,276187349,194761695,molecule_vpu,VariationalPULoss,"{""contrastive"": {""peak_permutation"": {""params"": {""annotation_bin_radius"": 0, ""negative_weighting_method"": ""multilabel_jaccard"", ""overlapping_label_negative_weight"": 0.1, ""peak_catalog_limit"": 4096, ""peak_sample_size"": 10000, ""peak_selection_method"": ""permutation_label_invariant"", ""permutation_bank_size"": 7000, ""permutation_selection_attempts"": 64, ""permuted_peaks_per_view"": 3, ""preserve_input_normalization"": true, ""temperature"": 0.07}, ""target"": ""InfoNCELoss"", ""weight"": 0.001}}, ""heads"": {""molecule_vpu"": {""vpu"": {""params"": {""alpha"": 1.0, ""beta"": 1.0, ""consistency_weight"": 0.0, ""negative_weight"": 0.0, ""simulated_negative_weight"": 0.0}, ""target"": ""VariationalPULoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}, ""regularization"": {""contractive"": {""params"": {""calculation_method"": ""exact_autograd_jacobian"", ""hinge_alpha"": 2.0, ""hinge_threshold"": 7.0, ""input_geometry"": ""fisher_rao"", ""latent_source"": ""auto"", ""penalized_space"": ""u"", ""penalty_metric"": ""spectral_plus_hinged""}, ""target"": ""ContractiveLoss"", ""weight"": 0.002}}}",{},True,True,real_only (axis-200-900),baseline_200_900,"Real-only baseline, 200-900 m/z",0,#0072B2,solid,o,"{""axis"": ""axis-200-900"", ""role"": ""real_only""}"
metaspace-pretrain-repaired-20260923-01__grid_0000__rep_04__real_only,metaspace-pretrain-repaired-20260923-01,task_000004,grid_0000,4,axis-200-900,real_only,real_only,baseline,grid_0000__rep_04,"Real-only baseline, 200-900 m/z",axis-200-900/real_only,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/metaspace-pretrain-repaired-20260923-01__grid_0000__rep_04__real_only,1915557887,1927548799,molecule_vpu,VariationalPULoss,"{""contrastive"": {""peak_permutation"": {""params"": {""annotation_bin_radius"": 0, ""negative_weighting_method"": ""multilabel_jaccard"", ""overlapping_label_negative_weight"": 0.1, ""peak_catalog_limit"": 4096, ""peak_sample_size"": 10000, ""peak_selection_method"": ""permutation_label_invariant"", ""permutation_bank_size"": 7000, ""permutation_selection_attempts"": 64, ""permuted_peaks_per_view"": 3, ""preserve_input_normalization"": true, ""temperature"": 0.07}, ""target"": ""InfoNCELoss"", ""weight"": 0.001}}, ""heads"": {""molecule_vpu"": {""vpu"": {""params"": {""alpha"": 1.0, ""beta"": 1.0, ""consistency_weight"": 0.0, ""negative_weight"": 0.0, ""simulated_negative_weight"": 0.0}, ""target"": ""VariationalPULoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}, ""regularization"": {""contractive"": {""params"": {""calculation_method"": ""exact_autograd_jacobian"", ""hinge_alpha"": 2.0, ""hinge_threshold"": 7.0, ""input_geometry"": ""fisher_rao"", ""latent_source"": ""auto"", ""penalized_space"": ""u"", ""penalty_metric"": ""spectral_plus_hinged""}, ""target"": ""ContractiveLoss"", ""weight"": 0.002}}}",{},True,True,real_only (axis-200-900),baseline_200_900,"Real-only baseline, 200-900 m/z",0,#0072B2,solid,o,"{""axis"": ""axis-200-900"", ""role"": ""real_only""}"
metaspace-pretrain-repaired-20260923-01__grid_0011__rep_00__real_only,metaspace-pretrain-repaired-20260923-01,task_000155,grid_0011,0,axis-100-3000,real_only,real_only,baseline,grid_0011__rep_00,"Real-only baseline, 100-3000 m/z",axis-100-3000/real_only,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/metaspace-pretrain-repaired-20260923-01__grid_0011__rep_00__real_only,91154199,32238397,molecule_vpu,VariationalPULoss,"{""contrastive"": {""peak_permutation"": {""params"": {""annotation_bin_radius"": 0, ""negative_weighting_method"": ""multilabel_jaccard"", ""overlapping_label_negative_weight"": 0.1, ""peak_catalog_limit"": 4096, ""peak_sample_size"": 10000, ""peak_selection_method"": ""permutation_label_invariant"", ""permutation_bank_size"": 7000, ""permutation_selection_attempts"": 64, ""permuted_peaks_per_view"": 3, ""preserve_input_normalization"": true, ""temperature"": 0.07}, ""target"": ""InfoNCELoss"", ""weight"": 0.001}}, ""heads"": {""molecule_vpu"": {""vpu"": {""params"": {""alpha"": 1.0, ""beta"": 1.0, ""consistency_weight"": 0.0, ""negative_weight"": 0.0, ""simulated_negative_weight"": 0.0}, ""target"": ""VariationalPULoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}, ""regularization"": {""contractive"": {""params"": {""calculation_method"": ""exact_autograd_jacobian"", ""hinge_alpha"": 2.0, ""hinge_threshold"": 7.0, ""input_geometry"": ""fisher_rao"", ""latent_source"": ""auto"", ""penalized_space"": ""u"", ""penalty_metric"": ""spectral_plus_hinged""}, ""target"": ""ContractiveLoss"", ""weight"": 0.002}}}",{},True,True,real_only (axis-100-3000),baseline_100_3000,"Real-only baseline, 100-3000 m/z",1,#D55E00,solid,s,"{""axis"": ""axis-100-3000"", ""role"": ""real_only""}"
metaspace-pretrain-repaired-20260923-01__grid_0011__rep_01__real_only,metaspace-pretrain-repaired-20260923-01,task_000156,grid_0011,1,axis-100-3000,real_only,real_only,baseline,grid_0011__rep_01,"Real-only baseline, 100-3000 m/z",axis-100-3000/real_only,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/metaspace-pretrain-repaired-20260923-01__grid_0011__rep_01__real_only,919377028,892754137,molecule_vpu,VariationalPULoss,"{""contrastive"": {""peak_permutation"": {""params"": {""annotation_bin_radius"": 0, ""negative_weighting_method"": ""multilabel_jaccard"", ""overlapping_label_negative_weight"": 0.1, ""peak_catalog_limit"": 4096, ""peak_sample_size"": 10000, ""peak_selection_method"": ""permutation_label_invariant"", ""permutation_bank_size"": 7000, ""permutation_selection_attempts"": 64, ""permuted_peaks_per_view"": 3, ""preserve_input_normalization"": true, ""temperature"": 0.07}, ""target"": ""InfoNCELoss"", ""weight"": 0.001}}, ""heads"": {""molecule_vpu"": {""vpu"": {""params"": {""alpha"": 1.0, ""beta"": 1.0, ""consistency_weight"": 0.0, ""negative_weight"": 0.0, ""simulated_negative_weight"": 0.0}, ""target"": ""VariationalPULoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}, ""regularization"": {""contractive"": {""params"": {""calculation_method"": ""exact_autograd_jacobian"", ""hinge_alpha"": 2.0, ""hinge_threshold"": 7.0, ""input_geometry"": ""fisher_rao"", ""latent_source"": ""auto"", ""penalized_space"": ""u"", ""penalty_metric"": ""spectral_plus_hinged""}, ""target"": ""ContractiveLoss"", ""weight"": 0.002}}}",{},True,True,real_only (axis-100-3000),baseline_100_3000,"Real-only baseline, 100-3000 m/z",1,#D55E00,solid,s,"{""axis"": ""axis-100-3000"", ""role"": ""real_only""}"
metaspace-pretrain-repaired-20260923-01__grid_0011__rep_02__real_only,metaspace-pretrain-repaired-20260923-01,task_000157,grid_0011,2,axis-100-3000,real_only,real_only,baseline,grid_0011__rep_02,"Real-only baseline, 100-3000 m/z",axis-100-3000/real_only,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/metaspace-pretrain-repaired-20260923-01__grid_0011__rep_02__real_only,2136253289,442265914,molecule_vpu,VariationalPULoss,"{""contrastive"": {""peak_permutation"": {""params"": {""annotation_bin_radius"": 0, ""negative_weighting_method"": ""multilabel_jaccard"", ""overlapping_label_negative_weight"": 0.1, ""peak_catalog_limit"": 4096, ""peak_sample_size"": 10000, ""peak_selection_method"": ""permutation_label_invariant"", ""permutation_bank_size"": 7000, ""permutation_selection_attempts"": 64, ""permuted_peaks_per_view"": 3, ""preserve_input_normalization"": true, ""temperature"": 0.07}, ""target"": ""InfoNCELoss"", ""weight"": 0.001}}, ""heads"": {""molecule_vpu"": {""vpu"": {""params"": {""alpha"": 1.0, ""beta"": 1.0, ""consistency_weight"": 0.0, ""negative_weight"": 0.0, ""simulated_negative_weight"": 0.0}, ""target"": ""VariationalPULoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}, ""regularization"": {""contractive"": {""params"": {""calculation_method"": ""exact_autograd_jacobian"", ""hinge_alpha"": 2.0, ""hinge_threshold"": 7.0, ""input_geometry"": ""fisher_rao"", ""latent_source"": ""auto"", ""penalized_space"": ""u"", ""penalty_metric"": ""spectral_plus_hinged""}, ""target"": ""ContractiveLoss"", ""weight"": 0.002}}}",{},True,True,real_only (axis-100-3000),baseline_100_3000,"Real-only baseline, 100-3000 m/z",1,#D55E00,solid,s,"{""axis"": ""axis-100-3000"", ""role"": ""real_only""}"
metaspace-pretrain-repaired-20260923-01__grid_0011__rep_03__real_only,metaspace-pretrain-repaired-20260923-01,task_000158,grid_0011,3,axis-100-3000,real_only,real_only,baseline,grid_0011__rep_03,"Real-only baseline, 100-3000 m/z",axis-100-3000/real_only,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/metaspace-pretrain-repaired-20260923-01__grid_0011__rep_03__real_only,276187349,194761695,molecule_vpu,VariationalPULoss,"{""contrastive"": {""peak_permutation"": {""params"": {""annotation_bin_radius"": 0, ""negative_weighting_method"": ""multilabel_jaccard"", ""overlapping_label_negative_weight"": 0.1, ""peak_catalog_limit"": 4096, ""peak_sample_size"": 10000, ""peak_selection_method"": ""permutation_label_invariant"", ""permutation_bank_size"": 7000, ""permutation_selection_attempts"": 64, ""permuted_peaks_per_view"": 3, ""preserve_input_normalization"": true, ""temperature"": 0.07}, ""target"": ""InfoNCELoss"", ""weight"": 0.001}}, ""heads"": {""molecule_vpu"": {""vpu"": {""params"": {""alpha"": 1.0, ""beta"": 1.0, ""consistency_weight"": 0.0, ""negative_weight"": 0.0, ""simulated_negative_weight"": 0.0}, ""target"": ""VariationalPULoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}, ""regularization"": {""contractive"": {""params"": {""calculation_method"": ""exact_autograd_jacobian"", ""hinge_alpha"": 2.0, ""hinge_threshold"": 7.0, ""input_geometry"": ""fisher_rao"", ""latent_source"": ""auto"", ""penalized_space"": ""u"", ""penalty_metric"": ""spectral_plus_hinged""}, ""target"": ""ContractiveLoss"", ""weight"": 0.002}}}",{},True,True,real_only (axis-100-3000),baseline_100_3000,"Real-only baseline, 100-3000 m/z",1,#D55E00,solid,s,"{""axis"": ""axis-100-3000"", ""role"": ""real_only""}"
metaspace-pretrain-repaired-20260923-01__grid_0011__rep_04__real_only,metaspace-pretrain-repaired-20260923-01,task_000159,grid_0011,4,axis-100-3000,real_only,real_only,baseline,grid_0011__rep_04,"Real-only baseline, 100-3000 m/z",axis-100-3000/real_only,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/metaspace-pretrain-repaired-20260923-01__grid_0011__rep_04__real_only,1915557887,1927548799,molecule_vpu,VariationalPULoss,"{""contrastive"": {""peak_permutation"": {""params"": {""annotation_bin_radius"": 0, ""negative_weighting_method"": ""multilabel_jaccard"", ""overlapping_label_negative_weight"": 0.1, ""peak_catalog_limit"": 4096, ""peak_sample_size"": 10000, ""peak_selection_method"": ""permutation_label_invariant"", ""permutation_bank_size"": 7000, ""permutation_selection_attempts"": 64, ""permuted_peaks_per_view"": 3, ""preserve_input_normalization"": true, ""temperature"": 0.07}, ""target"": ""InfoNCELoss"", ""weight"": 0.001}}, ""heads"": {""molecule_vpu"": {""vpu"": {""params"": {""alpha"": 1.0, ""beta"": 1.0, ""consistency_weight"": 0.0, ""negative_weight"": 0.0, ""simulated_negative_weight"": 0.0}, ""target"": ""VariationalPULoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}, ""regularization"": {""contractive"": {""params"": {""calculation_method"": ""exact_autograd_jacobian"", ""hinge_alpha"": 2.0, ""hinge_threshold"": 7.0, ""input_geometry"": ""fisher_rao"", ""latent_source"": ""auto"", ""penalized_space"": ""u"", ""penalty_metric"": ""spectral_plus_hinged""}, ""target"": ""ContractiveLoss"", ""weight"": 0.002}}}",{},True,True,real_only (axis-100-3000),baseline_100_3000,"Real-only baseline, 100-3000 m/z",1,#D55E00,solid,s,"{""axis"": ""axis-100-3000"", ""role"": ""real_only""}"
